,word,positive,negative,p_early,n_early,p_late,n_late
2337,misspellings,6,34,0,5,1,7
2338,empire,418,100,67,17,93,16
2339,teacher,101,12,14,4,17,2
2340,reviewers,26,20,5,5,6,3
2341,approach,732,129,116,30,161,25
2342,accuracy,61,20,9,1,9,4
2343,uses,270,61,37,12,54,13
2344,sense,712,133,121,30,143,19
2345,puts,99,19,17,2,23,2
2346,results,351,58,52,10,80,17
2347,sculpture,109,12,16,1,26,3
2348,judicious,70,8,16,2,13,1
2349,john,181,34,32,9,36,9
2350,italian,241,52,17,5,61,6
2351,fascinating,149,22,21,4,37,2
2352,2000,78,16,16,3,6,3
2353,social,701,110,128,24,149,23
